damping,max_iter,convergence_iter,clusters_out,avg_cl_size,lrgst_cl_size,noise_size,silhouette,davies_bouldin
,,,1952,1.5589139344262295,19,0,0.06497865399714117,0.5098413066627635
,,,1916,1.5882045929018789,13,0,0.0717953165736845,0.5220672654066097
,,,1888,1.6117584745762712,14,0,0.08090162127487557,0.5179782163232045
,,,1873,1.624666310731447,16,0,0.07657826330917343,0.5193567992066127
,,,796,3.8228643216080402,75,0,0.09883542427431913,0.9095049360777383
,,,751,4.051930758988016,62,0,0.10520142411656516,0.9107298690675938
,,,710,4.285915492957747,58,0,0.107540781532559,0.8979597041730928
,,,683,4.455344070278184,64,0,0.12158747707464924,0.9193589531625823
,,,272,11.1875,150,0,0.13756718431652926,1.0002513989762791
,,,278,10.946043165467627,128,0,0.13316692950155593,0.9868398615493172
,,,260,11.703846153846154,127,0,0.14359557803590278,0.9819599869149759
,,,248,12.27016129032258,133,0,0.15430223359694253,0.9656281245880658
,,,142,21.429577464788732,339,0,0.14731415011820867,1.0018980483807927
,,,130,23.407692307692308,257,0,0.16340202387375477,0.9760856298743594
,,,114,26.69298245614035,269,0,0.17753691415394907,0.9139087647042583
,,,113,26.92920353982301,271,0,0.17742046529877237,0.9221066702336288
,,,49,62.10204081632653,792,0,0.2642047606729332,0.8403583651992718
,,,48,63.395833333333336,796,0,0.26441438060137773,0.8335453422205918
,,,48,63.395833333333336,796,0,0.26441438060137773,0.8335453422205918
,,,48,63.395833333333336,796,0,0.26441438060137773,0.8335453422205918
,,,24,126.79166666666667,1796,0,0.15212761067640845,0.9494212890121648
,,,24,126.79166666666667,1796,0,0.15212761067640845,0.9494212890121649
,,,24,126.79166666666667,1796,0,0.15212761067640845,0.9494212890121649
,,,24,126.79166666666667,1796,0,0.15212761067640845,0.9494212890121649
,,,2,1521.5,3042,0,0.8862407343800736,0.07850243478879897
,,,2,1521.5,3042,0,0.8862407343800736,0.07850243478879897
,,,2,1521.5,3042,0,0.8862407343800736,0.07850243478879897
,,,2,1521.5,3042,0,0.8862407343800736,0.07850243478879897
